"Label (Grouping)","Dauphin County, Pennsylvania","Lebanon County, Pennsylvania"
"Total:","102,670","46,551"
"    Householder who is White alone","82,492","44,663"
"    Householder who is Black or African American alone","15,902","468"
"    Householder who is American Indian and Alaska Native alone","171","59"
"    Householder who is Asian alone","1,530","265"
"    Householder who is Native Hawaiian and Other Pacific Islander alone","20","12"
"    Householder who is Some other race alone","1,475","817"
"    Householder who is Two or more races","1,080","267"
